大摆角,钢小球,,,,,,,,,,,
摆长 L (米),最大摆角 (°),测量方法,未修正周期 (秒),未修正重力加速度 (m/s²),未修正相对误差 (%),大摆角修正系数,修正后重力加速度 (m/s²),修正后相对误差 (%),最终采用方法,最终重力加速度 (m/s²),最终相对误差 (%),标准值 (m/s²)
0.35,5,FFT,1.193,9.715,0.8,1.000476,9.724,0.71,Fit,9.725,0.7,9.7936
0.35,5,Peak,1.193 ± 0.008,9.711,0.85,1.000476,9.72,0.75,Fit,9.725,0.7,9.7936
0.35,5,Fit,1.193,9.716,0.79,1.000476,9.725,0.7,Fit,9.725,0.7,9.7936
0.35,10,FFT,1.19,9.758,0.36,1.001907,9.795,0.02,FFT,9.795,0.02,9.7936
0.35,10,Peak,1.185 ± 0.045,9.832,0.39,1.001907,9.869,0.77,FFT,9.795,0.02,9.7936
0.35,10,Fit,1.184,9.858,0.65,1.001907,9.895,1.04,FFT,9.795,0.02,9.7936
0.35,15,FFT,1.183,9.878,0.87,1.004301,9.964,1.74,Peak,9.835,0.43,9.7936
0.35,15,Peak,1.190 ± 0.040,9.751,0.43,1.004301,9.835,0.43,Peak,9.835,0.43,9.7936
0.35,15,Fit,1.188,9.786,0.08,1.004301,9.87,0.78,Peak,9.835,0.43,9.7936
0.35,20,FFT,1.19,9.764,0.3,1.007669,9.914,1.23,Peak,9.828,0.35,9.7936
0.35,20,Peak,1.195 ± 0.047,9.679,1.17,1.007669,9.828,0.35,Peak,9.828,0.35,9.7936
0.35,20,Fit,1.19,9.763,0.31,1.007669,9.913,1.22,Peak,9.828,0.35,9.7936
0.35,25,FFT,1.215,9.358,4.45,1.012029,9.584,2.14,Fit,9.837,0.44,9.7936
0.35,25,Peak,1.195 ± 0.031,9.672,1.25,1.012029,9.906,1.14,Fit,9.837,0.44,9.7936
0.35,25,Fit,1.199,9.604,1.93,1.012029,9.837,0.44,Fit,9.837,0.44,9.7936
